question_id,passage_id,score
653,6:100-105,0.7990999817848206
653,2238,0.7162891626358032
653,45:12-13,0.6320649981498718
653,1361,0.3510451912879944
653,16:19-23,0.18676070868968964
653,16:51-55,0.1813003271818161
736,45:14-15,0.9920110106468201
736,66:8-8,0.9877854585647583
736,4:17-18,0.9861690998077393
736,4:110-112,0.9801397323608398
736,6:53-58,0.9742410182952881
736,3:133-136,0.9717435240745544
736,4:148-149,0.9611351490020752
736,4:31-31,0.9578187465667725
736,85:10-11,0.9563972353935242
736,42:37-43,0.9270231127738953
736,5:38-40,0.9121308922767639
736,53:31-41,0.9089075922966003
736,42:23-26,0.9044966697692871
736,20:80-82,0.9002406597137451
736,1784,0.9001354575157166
736,1123,0.8994154930114746
736,39:53-59,0.675031840801239
736,2250,0.6497470736503601
736,2120,0.607035756111145
736,16:114-119,0.6024796962738037
721,2104,0.9217390418052673
721,1737,0.688320517539978
721,2097,0.6417328119277954
721,596,0.4792214334011078
721,33:42-48,0.4626695513725281
721,2105,0.4166882634162903
721,1765,0.24668478965759277
751,1366,0.9840748310089111
751,7:54-56,0.8398334383964539
751,91:1-10,0.668560802936554
751,6:74-79,0.5758705139160156
751,71:13-20,0.5567392706871033
751,67:1-5,0.3603150248527527
751,82:1-5,0.3285716772079468
751,10:3-6,0.22925737500190735
718,4:31-31,0.9900626540184021
718,3:133-136,0.9896150827407837
718,2:159-162,0.9834181666374207
718,1123,0.960536003112793
718,66:8-8,0.835658609867096
718,42:37-43,0.7512350678443909
718,45:14-15,0.7197336554527283
718,39:53-59,0.6917243003845215
718,1478,0.673717200756073
718,71:5-12,0.6350871324539185
718,2250,0.575523853302002
718,11:112-115,0.513083279132843
718,20,0.5044347643852234
718,2090,0.4480327069759369
718,1784,0.4119858145713806
718,39,0.3779705762863159
718,8:38-40,0.36773645877838135
718,31:20-26,0.32164889574050903
718,20:80-82,0.29984280467033386
718,4:17-18,0.2838274836540222
732,28:81-84,0.9940593242645264
732,17:18-21,0.9848119020462036
732,42:20-22,0.9653016924858093
732,1737,0.9556930065155029
732,37:40-49,0.9418752193450928
732,92:12-21,0.8644906282424927
732,22:14-15,0.7596440315246582
732,2:94-96,0.7371536493301392
732,3:145-148,0.695020854473114
732,5:9-10,0.6376491189002991
732,57:18-21,0.5244532227516174
732,10:62-64,0.4784160256385803
732,3:196-198,0.47280168533325195
732,48:5-7,0.4598030745983124
732,2:25-25,0.44914141297340393
732,14:24-27,0.43630561232566833
732,11:103-108,0.3861103057861328
732,1717,0.3509381413459778
732,78:31-37,0.33021867275238037
732,13:35-35,0.2864926755428314
668,14:35-41,0.9915452599525452
668,3:95-97,0.9846540093421936
668,22:25-29,0.9427769780158997
668,1422,0.8367267847061157
668,1428,0.7724807858467102
668,1024,0.6386510133743286
668,1601,0.27052828669548035
668,17:1-1,0.25682780146598816
668,808,0.23343917727470398
668,2:146-150,0.22151906788349152
668,701,0.18903788924217224
668,43:26-28,0.18423926830291748
668,51:24-37,0.17573289573192596
735,13:28-29,0.38502439856529236
735,42:23-26,0.3165292739868164
735,2071,0.290924996137619
735,3:159-160,0.15480530261993408
702,12:108-111,0.84657222032547
702,72:18-24,0.7932543754577637
702,2089,0.5716910362243652
702,6:71-73,0.47903531789779663
702,14:1-4,0.3083779215812683
702,34:28-30,0.2734590470790863
702,16:35-40,0.27073895931243896
702,8:20-26,0.24573063850402832
702,2:213-214,0.1701032668352127
702,64,0.15280255675315857
729,2:190-194,0.9947088956832886
729,4:29-30,0.9912987351417542
729,5:94-95,0.9727092981338501
729,2:178-179,0.9701780080795288
729,2:83-86,0.9273555874824524
729,33:25-27,0.8301142454147339
729,3:156-158,0.7094642519950867
729,22:38-41,0.6688924431800842
729,42:37-43,0.5178142189979553
729,5:32-34,0.47424381971359253
729,9:12-16,0.37102586030960083
729,5:61-64,0.1969301849603653
729,2229,0.18657004833221436
729,2:216-218,0.16802412271499634
729,45,0.16374234855175018
674,1054,0.9940038323402405
674,105,0.8327080607414246
674,2113,0.46212828159332275
674,1013,0.28311339020729065
674,17:83-87,0.2766878306865692
674,2024,0.22372737526893616
739,682,0.9940839409828186
739,1631,0.9882735013961792
739,395,0.9851272702217102
739,1138,0.9332948327064514
739,2:154-157,0.9090571999549866
739,1637,0.650144100189209
739,3:156-158,0.6352502703666687
739,690,0.577980101108551
739,1231,0.5348962545394897
739,653,0.34285008907318115
739,1749,0.2712460458278656
749,75:36-40,0.9833948612213135
749,22:5-7,0.9755773544311523
749,36:77-83,0.8775445222854614
749,16:1-9,0.8515915870666504
749,1148,0.8481829166412354
749,76:1-4,0.7619745135307312
749,80:17-23,0.7486107349395752
749,35:9-11,0.6743098497390747
749,4:1-1,0.5330450534820557
749,86:5-10,0.37684711813926697
749,30:38-41,0.31388649344444275
749,686,0.2921428978443146
750,369,0.9114233255386353
750,2:94-96,0.8513652086257935
750,2115,0.6401759386062622
750,41:9-12,0.5924625992774963
750,30:1-7,0.561967670917511
750,22:47-48,0.38619592785835266
